row_element,column_element,cooccurrence_count,row_element_count,conditional_probability
I,Cd,0,169,0.0
I,Cl,9,169,0.05325443786982249
I,Co,0,169,0.0
I,Cr,0,169,0.0
I,Cu,0,169,0.0
I,F,0,169,0.0
I,Fe,0,169,0.0
I,Ge,0,169,0.0
I,H,168,169,0.9940828402366864
I,He,0,169,0.0
I,I,169,169,1.0
I,K,0,169,0.0
I,Mg,0,169,0.0
I,Mn,0,169,0.0
I,N,73,169,0.4319526627218935
I,Na,0,169,0.0
I,Ni,0,169,0.0
I,O,127,169,0.7514792899408284
I,P,0,169,0.0
I,Pa,0,169,0.0
I,Pb,0,169,0.0
I,Pt,0,169,0.0
I,S,5,169,0.029585798816568046
I,Se,0,169,0.0
I,Si,0,169,0.0
I,Sr,0,169,0.0
I,Tb,0,169,0.0
I,Tc,0,169,0.0
I,Te,0,169,0.0
I,Th,0,169,0.0
I,V,0,169,0.0
I,Zn,0,169,0.0
K,Al,0,33,0.0
K,As,0,33,0.0
K,B,0,33,0.0
K,Ba,0,33,0.0
K,Br,0,33,0.0
K,C,3,33,0.09090909090909091
K,Ca,0,33,0.0
K,Cd,0,33,0.0
K,Cl,0,33,0.0
K,Co,0,33,0.0
K,Cr,0,33,0.0
K,Cu,0,33,0.0
K,F,0,33,0.0
K,Fe,0,33,0.0
K,Ge,0,33,0.0
K,H,3,33,0.09090909090909091
K,He,0,33,0.0
K,I,0,33,0.0
K,K,33,33,1.0
K,Mg,0,33,0.0
K,Mn,0,33,0.0
K,N,3,33,0.09090909090909091
K,Na,0,33,0.0
K,Ni,0,33,0.0
K,O,3,33,0.09090909090909091
K,P,0,33,0.0
K,Pa,0,33,0.0
K,Pb,0,33,0.0
K,Pt,0,33,0.0
K,S,1,33,0.030303030303030304
K,Se,0,33,0.0
K,Si,0,33,0.0
K,Sr,0,33,0.0
K,Tb,0,33,0.0
K,Tc,0,33,0.0
K,Te,0,33,0.0
K,Th,0,33,0.0
K,V,0,33,0.0
K,Zn,0,33,0.0
Mg,Al,0,46,0.0
Mg,As,0,46,0.0
Mg,B,0,46,0.0
Mg,Ba,0,46,0.0
Mg,Br,0,46,0.0
Mg,C,23,46,0.5
Mg,Ca,0,46,0.0
Mg,Cd,0,46,0.0
Mg,Cl,0,46,0.0
Mg,Co,0,46,0.0
Mg,Cr,0,46,0.0
Mg,Cu,0,46,0.0
Mg,F,0,46,0.0
Mg,Fe,0,46,0.0
Mg,Ge,0,46,0.0
Mg,H,23,46,0.5
Mg,He,0,46,0.0
Mg,I,0,46,0.0
Mg,K,0,46,0.0
Mg,Mg,46,46,1.0
Mg,Mn,0,46,0.0
Mg,N,23,46,0.5
Mg,Na,0,46,0.0
Mg,Ni,0,46,0.0
Mg,O,23,46,0.5
Mg,P,0,46,0.0
Mg,Pa,0,46,0.0
Mg,Pb,0,46,0.0
Mg,Pt,0,46,0.0
Mg,S,0,46,0.0
Mg,Se,0,46,0.0
Mg,Si,0,46,0.0
Mg,Sr,0,46,0.0
Mg,Tb,0,46,0.0
Mg,Tc,0,46,0.0
Mg,Te,0,46,0.0
Mg,Th,0,46,0.0
Mg,V,0,46,0.0
Mg,Zn,0,46,0.0
Mn,Al,0,5,0.0
Mn,As,0,5,0.0
Mn,B,0,5,0.0
Mn,Ba,0,5,0.0
Mn,Br,0,5,0.0
Mn,C,0,5,0.0
Mn,Ca,0,5,0.0
Mn,Cd,0,5,0.0
Mn,Cl,0,5,0.0
Mn,Co,0,5,0.0
Mn,Cr,0,5,0.0
Mn,Cu,0,5,0.0
Mn,F,0,5,0.0
Mn,Fe,0,5,0.0
Mn,Ge,0,5,0.0
Mn,H,0,5,0.0
Mn,He,0,5,0.0
Mn,I,0,5,0.0
Mn,K,0,5,0.0
Mn,Mg,0,5,0.0
Mn,Mn,5,5,1.0
Mn,N,0,5,0.0
Mn,Na,0,5,0.0
Mn,Ni,0,5,0.0
Mn,O,1,5,0.2
Mn,P,0,5,0.0
Mn,Pa,0,5,0.0
Mn,Pb,0,5,0.0
Mn,Pt,0,5,0.0
Mn,S,0,5,0.0
Mn,Se,0,5,0.0
Mn,Si,0,5,0.0
Mn,Sr,0,5,0.0
Mn,Tb,0,5,0.0
Mn,Tc,0,5,0.0
Mn,Te,0,5,0.0
Mn,Th,0,5,0.0
Mn,V,0,5,0.0
Mn,Zn,0,5,0.0
N,Al,2,109142,0.000018324751241501897
N,As,9,109142,0.00008246138058675853
N,B,4,109142,0.000036649502483003795
N,Ba,0,109142,0.0
N,Br,2015,109142,0.01846218687581316
N,C,109116,109142,0.9997617782338605
N,Ca,0,109142,0.0
N,Cd,0,109142,0.0
N,Cl,2690,109142,0.024646790419820052
N,Co,9,109142,0.00008246138058675853
N,Cr,0,109142,0.0
N,Cu,1,109142,9.162375620750949e-6
N,F,192,109142,0.0017591761191841822
N,Fe,3,109142,0.000027487126862252846
N,Ge,0,109142,0.0
N,H,109135,109142,0.9999358633706548
N,He,9,109142,0.00008246138058675853
N,I,73,109142,0.0006688534203148193
N,K,3,109142,0.000027487126862252846
N,Mg,23,109142,0.00021073463927727182
N,Mn,0,109142,0.0
N,N,109142,109142,1.0
N,Na,0,109142,0.0
N,Ni,4,109142,0.000036649502483003795
N,O,104133,109142,0.9541056605156585
N,P,1604,109142,0.014696450495684521
N,Pa,0,109142,0.0
N,Pb,0,109142,0.0
N,Pt,0,109142,0.0
N,S,8112,109142,0.07432519103553169
N,Se,30,109142,0.00027487126862252845
N,Si,8,109142,0.00007329900496600759
N,Sr,0,109142,0.0
N,Tb,0,109142,0.0
N,Tc,0,109142,0.0
N,Te,0,109142,0.0
N,Th,0,109142,0.0
N,V,0,109142,0.0
N,Zn,0,109142,0.0
Na,Al,0,23,0.0
Na,As,0,23,0.0
Na,B,0,23,0.0
Na,Ba,0,23,0.0
Na,Br,0,23,0.0
Na,C,1,23,0.043478260869565216
Na,Ca,0,23,0.0
Na,Cd,0,23,0.0
Na,Cl,0,23,0.0
Na,Co,0,23,0.0
Na,Cr,0,23,0.0
Na,Cu,0,23,0.0
Na,F,1,23,0.043478260869565216
Na,Fe,0,23,0.0
Na,Ge,0,23,0.0
Na,H,1,23,0.043478260869565216
Na,He,0,23,0.0
Na,I,0,23,0.0
Na,K,0,23,0.0
Na,Mg,0,23,0.0
Na,Mn,0,23,0.0
Na,N,0,23,0.0
Na,Na,23,23,1.0
Na,Ni,0,23,0.0
Na,O,1,23,0.043478260869565216
Na,P,0,23,0.0
Na,Pa,0,23,0.0
Na,Pb,0,23,0.0
Na,Pt,0,23,0.0
Na,S,1,23,0.043478260869565216
Na,Se,0,23,0.0
Na,Si,1,23,0.043478260869565216
Na,Sr,0,23,0.0
Na,Tb,0,23,0.0
Na,Tc,0,23,0.0
Na,Te,0,23,0.0
Na,Th,0,23,0.0
Na,V,0,23,0.0
Na,Zn,0,23,0.0
Ni,Al,0,5,0.0
Ni,As,0,5,0.0
Ni,B,0,5,0.0
Ni,Ba,0,5,0.0
Ni,Br,0,5,0.0
Ni,C,4,5,0.8
Ni,Ca,0,5,0.0
Ni,Cd,0,5,0.0
Ni,Cl,0,5,0.0
Ni,Co,0,5,0.0
Ni,Cr,0,5,0.0
Ni,Cu,0,5,0.0
Ni,F,0,5,0.0
Ni,Fe,0,5,0.0
Ni,Ge,0,5,0.0
Ni,H,4,5,0.8
Ni,He,0,5,0.0
Ni,I,0,5,0.0
Ni,K,0,5,0.0
Ni,Mg,0,5,0.0
Ni,Mn,0,5,0.0
Ni,N,4,5,0.8
Ni,Na,0,5,0.0
Ni,Ni,5,5,1.0
Ni,O,4,5,0.8
Ni,P,0,5,0.0
Ni,Pa,0,5,0.0
Ni,Pb,0,5,0.0
Ni,Pt,0,5,0.0
Ni,S,0,5,0.0
Ni,Se,0,5,0.0
Ni,Si,0,5,0.0
Ni,Sr,0,5,0.0
Ni,Tb,0,5,0.0
Ni,Tc,0,5,0.0
Ni,Te,0,5,0.0
Ni,Th,0,5,0.0
Ni,V,0,5,0.0
Ni,Zn,0,5,0.0
